event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
87,2026-05-14T06:11:37.444,OMPL_PLAN,START,,"place(0.055, -0.125) retreat",,RRTConnect,,,0.0400,,"[""cube3""]",,,,"{""time_limit"": 3.0, ""start_q"": [-0.0319, 0.2522, -0.2131, -2.4813, 0.089, 2.706, -1.294], ""goal_q"": [-0.2681, -0.1577, 0.0, -2.3847, 0.0, 2.2342, -0.75]}"
88,2026-05-14T06:11:37.884,OMPL_PLAN,OK,,"place(0.055, -0.125) retreat",,BITstar,61,440,,,,,,,"{""path_length"": 0.8972, ""selected_goal_q"": [-0.2681107830698271, -0.15767741424999374, 1.7274241340758492e-17, -2.38473246514306, 2.312738390656637e-18, 2.234241047167542, -0.75]}"
89,2026-05-14T06:11:37.884,TRAJECTORY_EXEC,START,,,,,61,,0.0400,,"[""cube3""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
90,2026-05-14T06:11:37.884,TRAJECTORY_WAYPOINT,EXEC,,,,,1/61,,0.0400,,,,,,"{""q"": [-0.0319, 0.2522, -0.2131, -2.4813, 0.089, 2.706, -1.294]}"
91,2026-05-14T06:11:38.190,TRAJECTORY_WAYPOINT,EXEC,,,,,16/61,,0.0400,,,,,,"{""q"": [-0.091, 0.1497, -0.1598, -2.4571, 0.0668, 2.5881, -1.158]}"
92,2026-05-14T06:11:38.482,TRAJECTORY_WAYPOINT,EXEC,,,,,31/61,,0.0400,,,,,,"{""q"": [-0.15, 0.0473, -0.1065, -2.433, 0.0445, 2.4701, -1.022]}"
93,2026-05-14T06:11:38.775,TRAJECTORY_WAYPOINT,EXEC,,,,,46/61,,0.0400,,,,,,"{""q"": [-0.2091, -0.0552, -0.0533, -2.4089, 0.0223, 2.3522, -0.886]}"
94,2026-05-14T06:11:39.079,TRAJECTORY_WAYPOINT,EXEC,,,,,61/61,,0.0400,,,,,,"{""q"": [-0.2681, -0.1577, 0.0, -2.3847, 0.0, 2.2342, -0.75]}"
95,2026-05-14T06:11:39.138,TRAJECTORY_EXEC,OK,,,,,61,1253,,,,,,,
96,2026-05-14T06:11:39.138,MOVE_POSE,OK,,"place(0.055, -0.125) retreat",,,,,,,,,,,
97,2026-05-14T06:11:39.138,PLACE,OK,cube3,,,,,,,"[0.055, -0.125, 0.83]",,,,,
98,2026-05-14T06:11:40.075,PICK,START,cube1,,,,,,,,,,,,
99,2026-05-14T06:11:40.075,PICK_PROFILE,SELECT,cube1,,,,,,0.0150,,,,,,"{""profile_index"": 0, ""grasp_offset"": 0.1, ""clearance_bonus"": 0.0}"
100,2026-05-14T06:11:40.226,OBSTACLE_AVOID,CLEAR,cube1,,,,,,,,,,,0.2474,"{""approach_clearance"": 0.3}"
101,2026-05-14T06:11:40.246,MOVE_POSE,START,,pick(cube1) pregrasp,,,,,0.0400,"[0.02, -0.56, 1.1294]",[],,,,
102,2026-05-14T06:11:40.418,IK_SOLVE,WARN,,pick(cube1) pregrasp,,,,,,"[0.02, -0.56, 1.1294]",,,,,"{""pos_err"": 0.03058, ""ori_err"": 0.01585, ""iterations"": 600}"
103,2026-05-14T06:11:40.591,IK_ELBOW_UP,FAILED,,pick(cube1) pregrasp,,,,,,,,,,,"{""pos_err"": 0.03439, ""ori_err"": 0.01296, ""iterations"": 600}"
104,2026-05-14T06:11:40.592,OMPL_PLAN,START,,pick(cube1) pregrasp,,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 3.0, ""start_q"": [-0.2681, -0.153, 0.0, -2.39, -0.0002, 2.2335, -0.75], ""goal_q"": [-0.7494, 0.4778, -0.2019, -1.6975, 0.1071, 2.1795, -1.1285]}"
105,2026-05-14T06:11:41.032,OMPL_PLAN,OK,,pick(cube1) pregrasp,,BITstar,78,439,,,,,,,"{""path_length"": 1.1435, ""selected_goal_q"": [-0.7494264503464719, 0.4777592796691663, -0.20193953521346342, -1.6974955061567727, 0.10713120656310055, 2.179492500532329, -1.1285053571768715]}"
106,2026-05-14T06:11:41.032,TRAJECTORY_EXEC,START,,,,,78,,0.0400,,[],,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
107,2026-05-14T06:11:41.032,TRAJECTORY_WAYPOINT,EXEC,,,,,1/78,,0.0400,,,,,,"{""q"": [-0.2681, -0.153, 0.0, -2.39, -0.0002, 2.2335, -0.75]}"
108,2026-05-14T06:11:41.420,TRAJECTORY_WAYPOINT,EXEC,,,,,20/78,,0.0400,,,,,,"{""q"": [-0.3869, 0.0027, -0.0498, -2.2192, 0.0263, 2.2202, -0.8434]}"
109,2026-05-14T06:11:41.795,TRAJECTORY_WAYPOINT,EXEC,,,,,39/78,,0.0400,,,,,,"{""q"": [-0.5056, 0.1583, -0.0996, -2.0483, 0.0528, 2.2068, -0.9368]}"
110,2026-05-14T06:11:42.198,TRAJECTORY_WAYPOINT,EXEC,,,,,58/78,,0.0400,,,,,,"{""q"": [-0.6244, 0.3139, -0.1495, -1.8774, 0.0793, 2.1935, -1.0302]}"
111,2026-05-14T06:11:42.588,TRAJECTORY_WAYPOINT,EXEC,,,,,77/78,,0.0400,,,,,,"{""q"": [-0.7432, 0.4696, -0.1993, -1.7065, 0.1057, 2.1802, -1.1236]}"
112,2026-05-14T06:11:42.611,TRAJECTORY_WAYPOINT,EXEC,,,,,78/78,,0.0400,,,,,,"{""q"": [-0.7494, 0.4778, -0.2019, -1.6975, 0.1071, 2.1795, -1.1285]}"
113,2026-05-14T06:11:42.674,TRAJECTORY_EXEC,OK,,,,,78,1642,,,,,,,
114,2026-05-14T06:11:42.675,MOVE_POSE,OK,,pick(cube1) pregrasp,,,,,,,,,,,
115,2026-05-14T06:11:42.675,MOVE_POSE,START,,pick(cube1) grasp,,,,,0.0400,"[0.02, -0.56, 0.9294]","[""cube1""]",,,,
