event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
284,2026-05-14T08:22:14.473,OMPL_PLAN,OK,,"place(0.275, -0.125) release",,BITstar,26,724,,,,,,,"{""path_length"": 0.2905, ""selected_goal_q"": [0.43088763607940433, 0.8703944526556937, 0.022131311601298737, -1.376830722085827, -0.02020016630267131, 2.2549145147873944, -0.4788310336380937]}"
285,2026-05-14T08:22:14.473,TRAJECTORY_EXEC,START,,,,,26,,0.0150,,"[""cube2""]",,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
286,2026-05-14T08:22:14.473,TRAJECTORY_WAYPOINT,EXEC,,,,,1/26,,0.0150,,,,,,"{""q"": [0.3965, 0.6777, 0.0697, -1.3752, -0.0465, 2.05, -0.445]}"
287,2026-05-14T08:22:14.695,TRAJECTORY_WAYPOINT,EXEC,,,,,7/26,,0.0150,,,,,,"{""q"": [0.4048, 0.724, 0.0583, -1.3756, -0.0402, 2.0992, -0.4531]}"
288,2026-05-14T08:22:14.927,TRAJECTORY_WAYPOINT,EXEC,,,,,13/26,,0.0150,,,,,,"{""q"": [0.413, 0.7702, 0.0469, -1.376, -0.0339, 2.1484, -0.4612]}"
289,2026-05-14T08:22:15.155,TRAJECTORY_WAYPOINT,EXEC,,,,,19/26,,0.0150,,,,,,"{""q"": [0.4213, 0.8164, 0.0354, -1.3764, -0.0276, 2.1975, -0.4694]}"
290,2026-05-14T08:22:15.370,TRAJECTORY_WAYPOINT,EXEC,,,,,25/26,,0.0150,,,,,,"{""q"": [0.4295, 0.8627, 0.024, -1.3768, -0.0213, 2.2467, -0.4775]}"
291,2026-05-14T08:22:15.409,TRAJECTORY_WAYPOINT,EXEC,,,,,26/26,,0.0150,,,,,,"{""q"": [0.4309, 0.8704, 0.0221, -1.3768, -0.0202, 2.2549, -0.4788]}"
292,2026-05-14T08:22:15.548,TRAJECTORY_EXEC,OK,,,,,26,1075,,,,,,,
293,2026-05-14T08:22:15.548,MOVE_POSE,OK,,"place(0.275, -0.125) release",,,,,,,,,,,
294,2026-05-14T08:22:15.548,PLACE,SETTLE_BEFORE_OPEN,cube2,,,,,,,,,,,,"{""steps"": 120}"
295,2026-05-14T08:22:15.778,PLACE,GRIP_OPEN,cube2,,,,,,,,,,,,"{""finger_before"": 0.0294}"
296,2026-05-14T08:22:15.778,GRIPPER,SET,,,,,,,0.0400,,,,,,"{""steps"": 450}"
297,2026-05-14T08:22:16.630,PLACE,GRIP_OPENED,cube2,,,,,,,,,,,,"{""finger_after"": 0.04}"
298,2026-05-14T08:22:16.913,MOVE_POSE,START,,"place(0.275, -0.125) retreat",,,,,0.0400,"[0.275, -0.125, 1.19]","[""cube2""]",,,,
299,2026-05-14T08:22:17.037,IK_CANDIDATE,OK,,"place(0.275, -0.125) retreat",,,,,,"[0.275, -0.125, 1.19]",,,,,"{""pos_err"": 0.01964, ""ori_err"": 0.0166, ""candidate_idx"": 0, ""ref_idx"": 0, ""pos_limit"": 0.035}"
300,2026-05-14T08:22:17.038,IK_SOLVE,OK,,"place(0.275, -0.125) retreat",,,,,,"[0.275, -0.125, 1.19]",,,,,"{""pos_err"": 0.01964, ""ori_err"": 0.0166, ""iterations"": 600}"
301,2026-05-14T08:22:17.047,OMPL_PLAN,START,,"place(0.275, -0.125) retreat",,RRTConnect,,,0.0400,,"[""cube2""]",,,,"{""time_limit"": 5.0, ""start_q"": [0.4309, 0.8806, 0.0218, -1.3821, -0.0204, 2.2542, -0.4788], ""goal_q"": [0.445, 0.6244, 0.0036, -1.2915, -0.0015, 1.9324, -0.5054]}"
302,2026-05-14T08:22:17.769,OMPL_PLAN,OK,,"place(0.275, -0.125) retreat",,BITstar,37,721,,,,,,,"{""path_length"": 0.4231, ""selected_goal_q"": [0.44504983484515426, 0.6243524711153287, 0.0036458610536434437, -1.2914693655385687, -0.0014639051611715528, 1.9323888418933262, -0.5053835934245632]}"
303,2026-05-14T08:22:17.769,TRAJECTORY_EXEC,START,,,,,37,,0.0400,,"[""cube2""]",,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
304,2026-05-14T08:22:17.769,TRAJECTORY_WAYPOINT,EXEC,,,,,1/37,,0.0400,,,,,,"{""q"": [0.4309, 0.8806, 0.0218, -1.3821, -0.0204, 2.2542, -0.4788]}"
305,2026-05-14T08:22:18.092,TRAJECTORY_WAYPOINT,EXEC,,,,,10/37,,0.0400,,,,,,"{""q"": [0.4344, 0.8165, 0.0173, -1.3594, -0.0156, 2.1737, -0.4855]}"
306,2026-05-14T08:22:18.393,TRAJECTORY_WAYPOINT,EXEC,,,,,19/37,,0.0400,,,,,,"{""q"": [0.438, 0.7525, 0.0127, -1.3368, -0.0109, 2.0933, -0.4921]}"
307,2026-05-14T08:22:18.697,TRAJECTORY_WAYPOINT,EXEC,,,,,28/37,,0.0400,,,,,,"{""q"": [0.4415, 0.6884, 0.0082, -1.3141, -0.0062, 2.0128, -0.4987]}"
308,2026-05-14T08:22:19.031,TRAJECTORY_WAYPOINT,EXEC,,,,,37/37,,0.0400,,,,,,"{""q"": [0.445, 0.6244, 0.0036, -1.2915, -0.0015, 1.9324, -0.5054]}"
309,2026-05-14T08:22:19.171,TRAJECTORY_EXEC,OK,,,,,37,1402,,,,,,,
310,2026-05-14T08:22:19.171,MOVE_POSE,OK,,"place(0.275, -0.125) retreat",,,,,,,,,,,
311,2026-05-14T08:22:19.171,TRANSIT,START,,"after place(0.275, -0.125)",,,,,,,,,,,"{""target"": ""GRASP_READY""}"
312,2026-05-14T08:22:19.172,OMPL_PLAN,START,,"transit after place(0.275, -0.125)",,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 5.0, ""start_q"": [0.445, 0.6333, 0.0036, -1.2964, -0.0017, 1.9323, -0.5053], ""goal_q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
313,2026-05-14T08:22:19.912,OMPL_PLAN,OK,,"transit after place(0.275, -0.125)",,BITstar,87,740,,,,,,,"{""path_length"": 1.026, ""selected_goal_q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
314,2026-05-14T08:22:19.913,TRAJECTORY_EXEC,START,,,,,87,,0.0400,,[],,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
315,2026-05-14T08:22:19.913,TRAJECTORY_WAYPOINT,EXEC,,,,,1/87,,0.0400,,,,,,"{""q"": [0.445, 0.6333, 0.0036, -1.2964, -0.0017, 1.9323, -0.5053]}"
316,2026-05-14T08:22:20.599,TRAJECTORY_WAYPOINT,EXEC,,,,,22/87,,0.0400,,,,,,"{""q"": [0.3364, 0.6078, 0.0027, -1.4634, -0.0013, 2.0697, -0.5651]}"
317,2026-05-14T08:22:21.267,TRAJECTORY_WAYPOINT,EXEC,,,,,43/87,,0.0400,,,,,,"{""q"": [0.2277, 0.5824, 0.0018, -1.6303, -0.0009, 2.2071, -0.6248]}"
318,2026-05-14T08:22:21.986,TRAJECTORY_WAYPOINT,EXEC,,,,,64/87,,0.0400,,,,,,"{""q"": [0.119, 0.5569, 0.001, -1.7972, -0.0004, 2.3445, -0.6846]}"
319,2026-05-14T08:22:22.705,TRAJECTORY_WAYPOINT,EXEC,,,,,85/87,,0.0400,,,,,,"{""q"": [0.0103, 0.5314, 0.0001, -1.9641, -0.0, 2.4819, -0.7443]}"
320,2026-05-14T08:22:22.776,TRAJECTORY_WAYPOINT,EXEC,,,,,87/87,,0.0400,,,,,,"{""q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
321,2026-05-14T08:22:22.906,TRAJECTORY_EXEC,OK,,,,,87,2993,,,,,,,
322,2026-05-14T08:22:22.906,TRANSIT,OK,,"after place(0.275, -0.125)",,,,,,,,,,,"{""target"": ""GRASP_READY""}"
323,2026-05-14T08:22:22.906,PLACE,OK,cube2,,,,,,,"[0.275, -0.125, 0.83]",,,,,
324,2026-05-14T08:22:23.845,ARM_SELECT,OK,,,,,,,,,,,,,"{""arm"": ""left"", ""base_xy"": [-0.4, -0.45]}"
325,2026-05-14T08:22:23.845,ARM_VALIDATION,OK,circle1,,,,,,,,,,,,"{""selected_arm"": ""left"", ""validations"": [{""arm"": ""left"", ""ok"": true, ""pick_distance"": 0.5209, ""place_distance"": 0.6435, ""pick_status"": ""OK"", ""place_status"": ""OK"", ""obstacle_status"": ""CLEAR"", ""blocked"": false}, {""arm"": ""right"", ""ok"": false, ""pick_distance"": 1.0136, ""place_distance"": 0.6364, ""pick_status"": ""HARD"", ""place_status"": ""OK"", ""obstacle_status"": ""CLEAR"", ""blocked"": false}], ""attempt"": 1}"
326,2026-05-14T08:22:23.852,PICK,START,circle1,,,,,,,,,,,,
327,2026-05-14T08:22:23.852,PICK_PROFILE,SELECT,circle1,,,,,,0.0120,,,,,,"{""profile_index"": 0, ""grasp_offset"": 0.085, ""clearance_bonus"": 0.0}"
328,2026-05-14T08:22:24.022,OBSTACLE_AVOID,CLEAR,circle1,,,,,,,,,,,,"{""approach_clearance"": 0.3}"
329,2026-05-14T08:22:24.022,MOVE_POSE,START,,pick(circle1) pregrasp,,,,,0.0400,"[0.12, -0.42, 1.1244]",[],,,,
330,2026-05-14T08:22:24.140,IK_CANDIDATE,OK,,pick(circle1) pregrasp,,,,,,"[0.12, -0.42, 1.1244]",,,,,"{""pos_err"": 0.00799, ""ori_err"": 0.00088, ""candidate_idx"": 0, ""ref_idx"": 0, ""pos_limit"": 0.055}"
331,2026-05-14T08:22:24.140,IK_SOLVE,OK,,pick(circle1) pregrasp,,,,,,"[0.12, -0.42, 1.1244]",,,,,"{""pos_err"": 0.00799, ""ori_err"": 0.00088, ""iterations"": 587}"
332,2026-05-14T08:22:24.140,OMPL_PLAN,START,,pick(circle1) pregrasp,,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 5.0, ""start_q"": [0.0, 0.5373, -0.0001, -1.9846, -0.0001, 2.4942, -0.75], ""goal_q"": [0.0462, 0.0876, 0.0111, -2.2663, -0.0007, 2.3532, -0.7038]}"
333,2026-05-14T08:22:24.877,OMPL_PLAN,OK,,pick(circle1) pregrasp,,BITstar,48,736,,,,,,,"{""path_length"": 0.553, ""selected_goal_q"": [0.046191428616040094, 0.08763976559898219, 0.011056681304473945, -2.266328895480433, -0.0007233617598341006, 2.3532063682142503, -0.7037568577708969]}"
334,2026-05-14T08:22:24.877,TRAJECTORY_EXEC,START,,,,,48,,0.0400,,[],,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
335,2026-05-14T08:22:24.877,TRAJECTORY_WAYPOINT,EXEC,,,,,1/48,,0.0400,,,,,,"{""q"": [0.0, 0.5373, -0.0001, -1.9846, -0.0001, 2.4942, -0.75]}"
336,2026-05-14T08:22:25.280,TRAJECTORY_WAYPOINT,EXEC,,,,,13/48,,0.0400,,,,,,"{""q"": [0.0118, 0.4225, 0.0027, -2.0565, -0.0003, 2.4582, -0.7382]}"
337,2026-05-14T08:22:25.679,TRAJECTORY_WAYPOINT,EXEC,,,,,25/48,,0.0400,,,,,,"{""q"": [0.0236, 0.3077, 0.0056, -2.1284, -0.0004, 2.4222, -0.7264]}"
338,2026-05-14T08:22:26.077,TRAJECTORY_WAYPOINT,EXEC,,,,,37/48,,0.0400,,,,,,"{""q"": [0.0354, 0.1929, 0.0084, -2.2004, -0.0006, 2.3862, -0.7146]}"
339,2026-05-14T08:22:26.463,TRAJECTORY_WAYPOINT,EXEC,,,,,48/48,,0.0400,,,,,,"{""q"": [0.0462, 0.0876, 0.0111, -2.2663, -0.0007, 2.3532, -0.7038]}"
340,2026-05-14T08:22:26.589,TRAJECTORY_EXEC,OK,,,,,48,1711,,,,,,,
341,2026-05-14T08:22:26.589,MOVE_POSE,OK,,pick(circle1) pregrasp,,,,,,,,,,,
342,2026-05-14T08:22:26.589,MOVE_POSE,START,,pick(circle1) grasp,,,,,0.0400,"[0.12, -0.42, 0.9094]","[""circle1""]",,,,
343,2026-05-14T08:22:26.185,IK_CANDIDATE,OK,,pick(circle1) grasp,,,,,,"[0.12, -0.42, 0.9094]",,,,,"{""pos_err"": 0.00796, ""ori_err"": 0.01153, ""candidate_idx"": 0, ""ref_idx"": 0, ""pos_limit"": 0.035}"
344,2026-05-14T08:22:26.186,IK_SOLVE,OK,,pick(circle1) grasp,,,,,,"[0.12, -0.42, 0.9094]",,,,,"{""pos_err"": 0.00796, ""ori_err"": 0.01153, ""iterations"": 494}"
345,2026-05-14T08:22:26.186,OMPL_PLAN,START,,pick(circle1) grasp,,RRTConnect,,,0.0400,,"[""circle1""]",,,,"{""time_limit"": 5.0, ""start_q"": [0.0462, 0.0943, 0.0111, -2.2706, -0.0009, 2.3526, -0.7039], ""goal_q"": [0.0532, 0.542, 0.0034, -2.268, -0.0037, 2.7984, -0.705]}"
346,2026-05-14T08:22:26.906,OMPL_PLAN,OK,,pick(circle1) grasp,,BITstar,54,719,,,,,,,"{""path_length"": 0.6318, ""selected_goal_q"": [0.05322536203764011, 0.5419605379713093, 0.003432092655477961, -2.267975464316591, -0.0037282701108785183, 2.7984119589474346, -0.7050240168196429]}"
347,2026-05-14T08:22:26.906,TRAJECTORY_EXEC,START,,,,,54,,0.0400,,"[""circle1""]",,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
348,2026-05-14T08:22:26.906,TRAJECTORY_WAYPOINT,EXEC,,,,,1/54,,0.0400,,,,,,"{""q"": [0.0462, 0.0943, 0.0111, -2.2706, -0.0009, 2.3526, -0.7039]}"
349,2026-05-14T08:22:27.335,TRAJECTORY_WAYPOINT,EXEC,,,,,14/54,,0.0400,,,,,,"{""q"": [0.0479, 0.2041, 0.0092, -2.27, -0.0016, 2.462, -0.7042]}"
350,2026-05-14T08:22:27.769,TRAJECTORY_WAYPOINT,EXEC,,,,,27/54,,0.0400,,,,,,"{""q"": [0.0496, 0.3139, 0.0074, -2.2693, -0.0023, 2.5713, -0.7044]}"
351,2026-05-14T08:22:28.227,TRAJECTORY_WAYPOINT,EXEC,,,,,40/54,,0.0400,,,,,,"{""q"": [0.0514, 0.4237, 0.0055, -2.2687, -0.003, 2.6807, -0.7047]}"
352,2026-05-14T08:22:28.644,TRAJECTORY_WAYPOINT,EXEC,,,,,53/54,,0.0400,,,,,,"{""q"": [0.0531, 0.5335, 0.0036, -2.268, -0.0037, 2.79, -0.705]}"
353,2026-05-14T08:22:28.676,TRAJECTORY_WAYPOINT,EXEC,,,,,54/54,,0.0400,,,,,,"{""q"": [0.0532, 0.542, 0.0034, -2.268, -0.0037, 2.7984, -0.705]}"
354,2026-05-14T08:22:28.738,COLLISION_CHECK,BLOCKED,,trajectory final settle,,,,,,,"[""circle1""]",robot-env contact: table/1 <-> left_finger/80,"[""table"", ""left_finger""]",,
355,2026-05-14T08:22:28.738,TRAJECTORY_EXEC,FAILED,,,,,54,1832,,,,collision_during_final_settle,,,
356,2026-05-14T08:22:28.738,MOVE_POSE,FAILED,,pick(circle1) grasp,,,,,,,,ompl_failed_no_fallback,,,
357,2026-05-14T08:22:28.739,PICK,FAILED,circle1,grasp,,,,,,,,move_grasp_failed,,,
358,2026-05-14T08:22:28.739,DROP,START,,,,,,,,,,,,,
359,2026-05-14T08:22:28.739,GRIPPER,SET,,,,,,,0.0400,,,,,,"{""steps"": 300}"
360,2026-05-14T08:22:29.586,RECOVERY,START,,safe_hover,,,,,,,,,,,
361,2026-05-14T08:22:29.587,OMPL_PLAN,START,,recovery safe_hover,,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 5.0, ""start_q"": [0.0532, 0.549, 0.0033, -2.2711, -0.0038, 2.7978, -0.705], ""goal_q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
362,2026-05-14T08:22:30.501,OMPL_PLAN,OK,,recovery safe_hover,,BITstar,142,913,,,,,,,"{""path_length"": 1.6793, ""selected_goal_q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
363,2026-05-14T08:22:30.501,TRAJECTORY_EXEC,START,,,,,142,,0.0400,,[],,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
364,2026-05-14T08:22:30.501,TRAJECTORY_WAYPOINT,EXEC,,,,,1/142,,0.0400,,,,,,"{""q"": [0.0532, 0.549, 0.0033, -2.2711, -0.0038, 2.7978, -0.705]}"
365,2026-05-14T08:22:30.505,COLLISION_CHECK,IGNORED_START,,trajectory waypoint 0,,,,,,,[],robot-env contact: table/1 <-> left_finger/80,"[""table"", ""left_finger""]",,
366,2026-05-14T08:22:30.507,COLLISION_CHECK,IGNORED_START,,trajectory waypoint 0,,,,,,,[],robot-env contact: table/1 <-> left_finger/80,"[""table"", ""left_finger""]",,
367,2026-05-14T08:22:30.510,COLLISION_CHECK,IGNORED_START,,trajectory waypoint 0,,,,,,,[],robot-env contact: table/1 <-> left_finger/80,"[""table"", ""left_finger""]",,
368,2026-05-14T08:22:30.513,COLLISION_CHECK,IGNORED_START,,trajectory waypoint 0,,,,,,,[],robot-env contact: table/1 <-> left_finger/80,"[""table"", ""left_finger""]",,
369,2026-05-14T08:22:30.516,COLLISION_CHECK,IGNORED_START,,trajectory waypoint 0,,,,,,,[],robot-env contact: table/1 <-> left_finger/80,"[""table"", ""left_finger""]",,
