event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
286,2026-05-14T08:18:06.482,OMPL_PLAN,OK,,recovery safe_hover,,BITstar,2,726,,,,,,,"{""path_length"": 0.0095, ""selected_goal_q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
287,2026-05-14T08:18:06.482,TRAJECTORY_EXEC,START,,,,,2,,0.0400,,[],,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
288,2026-05-14T08:18:06.482,TRAJECTORY_WAYPOINT,EXEC,,,,,1/2,,0.0400,,,,,,"{""q"": [0.0, 0.5373, -0.0001, -1.9846, -0.0001, 2.4942, -0.75]}"
289,2026-05-14T08:18:06.515,TRAJECTORY_WAYPOINT,EXEC,,,,,2/2,,0.0400,,,,,,"{""q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
290,2026-05-14T08:18:06.645,TRAJECTORY_EXEC,OK,,,,,2,162,,,,,,,
291,2026-05-14T08:18:06.645,RECOVERY,OK,,safe_hover,,,,,,,,,,,
292,2026-05-14T08:18:06.646,DROP,OK,,,,,,,,,,,,,
293,2026-05-14T08:18:07.534,ARM_SELECT,OK,,,,,,,,,,,,,"{""arm"": ""right"", ""base_xy"": [-0.4, 0.45]}"
294,2026-05-14T08:18:07.534,ARM_VALIDATION,OK,circle3,,,,,,,,,,,,"{""selected_arm"": ""right"", ""validations"": [{""arm"": ""left"", ""ok"": false, ""pick_distance"": 0.9521, ""place_distance"": 0.7254, ""pick_status"": ""HARD"", ""place_status"": ""OK"", ""obstacle_status"": ""CLEAR"", ""blocked"": false}, {""arm"": ""right"", ""ok"": true, ""pick_distance"": 0.5749, ""place_distance"": 0.7192, ""pick_status"": ""OK"", ""place_status"": ""OK"", ""obstacle_status"": ""CLEAR"", ""blocked"": false}], ""attempt"": 1}"
295,2026-05-14T08:18:07.535,PICK,START,circle3,,,,,,,,,,,,
296,2026-05-14T08:18:07.535,TRANSIT,START,,before pick(circle3),,,,,,,,,,,"{""target"": ""GRASP_READY""}"
297,2026-05-14T08:18:07.537,OMPL_PLAN,START,,transit before pick(circle3),,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 5.0, ""start_q"": [0.0, 0.0059, -0.0, -1.5763, -0.0002, 1.57, -0.7854], ""goal_q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
298,2026-05-14T08:18:08.288,OMPL_PLAN,OK,,transit before pick(circle3),,BITstar,96,750,,,,,,,"{""path_length"": 1.1373, ""selected_goal_q"": [0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]}"
299,2026-05-14T08:18:08.288,TRAJECTORY_EXEC,START,,,,,96,,0.0400,,[],,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
300,2026-05-14T08:18:08.289,TRAJECTORY_WAYPOINT,EXEC,,,,,1/96,,0.0400,,,,,,"{""q"": [0.0, 0.0059, -0.0, -1.5763, -0.0002, 1.57, -0.7854]}"
301,2026-05-14T08:18:09.085,TRAJECTORY_WAYPOINT,EXEC,,,,,25/96,,0.0400,,,,,,"{""q"": [0.0, 0.1381, -0.0, -1.6783, -0.0002, 1.8037, -0.7765]}"
302,2026-05-14T08:18:09.893,TRAJECTORY_WAYPOINT,EXEC,,,,,49/96,,0.0400,,,,,,"{""q"": [0.0, 0.2702, -0.0, -1.7803, -0.0001, 2.0374, -0.7675]}"
303,2026-05-14T08:18:10.672,TRAJECTORY_WAYPOINT,EXEC,,,,,73/96,,0.0400,,,,,,"{""q"": [0.0, 0.4024, -0.0, -1.8823, -0.0001, 2.2711, -0.7586]}"
