event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
113,2026-05-14T06:00:31.690,TRAJECTORY_EXEC,START,,,,,36,,0.0400,,"[""cube3""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
114,2026-05-14T06:00:31.691,TRAJECTORY_WAYPOINT,EXEC,,,,,1/36,,0.0400,,,,,,"{""q"": [-0.0446, 0.4642, -0.165, -2.1161, 0.1183, 2.5509, -1.2261]}"
115,2026-05-14T06:00:31.869,TRAJECTORY_WAYPOINT,EXEC,,,,,10/36,,0.0400,,,,,,"{""q"": [-0.0525, 0.3815, -0.1599, -2.0918, 0.0936, 2.4537, -1.208]}"
116,2026-05-14T06:00:32.049,TRAJECTORY_WAYPOINT,EXEC,,,,,19/36,,0.0400,,,,,,"{""q"": [-0.0604, 0.2989, -0.1548, -2.0676, 0.0689, 2.3564, -1.19]}"
117,2026-05-14T06:00:32.222,TRAJECTORY_WAYPOINT,EXEC,,,,,28/36,,0.0400,,,,,,"{""q"": [-0.0682, 0.2162, -0.1496, -2.0433, 0.0442, 2.2592, -1.1719]}"
118,2026-05-14T06:00:32.382,TRAJECTORY_WAYPOINT,EXEC,,,,,36/36,,0.0400,,,,,,"{""q"": [-0.0752, 0.1427, -0.145, -2.0217, 0.0222, 2.1727, -1.1558]}"
119,2026-05-14T06:00:32.449,TRAJECTORY_EXEC,OK,,,,,36,758,,,,,,,
120,2026-05-14T06:00:32.449,MOVE_POSE,OK,,"place(0.165, -0.125) retreat",,,,,,,,,,,
121,2026-05-14T06:00:32.450,PLACE,OK,cube3,,,,,,,"[0.165, -0.125, 0.83]",,,,,
122,2026-05-14T06:00:33.849,PICK,START,cube1,,,,,,,,,,,,
123,2026-05-14T06:00:33.999,OBSTACLE_AVOID,CLEAR,cube1,,,,,,,,,,,0.2474,"{""approach_clearance"": 0.3}"
124,2026-05-14T06:00:33.999,MOVE_POSE,START,,pick(cube1) pregrasp,,,,,0.0400,"[0.02, -0.56, 1.1294]",[],,,,
125,2026-05-14T06:00:34.160,IK_SOLVE,WARN,,pick(cube1) pregrasp,,,,,,"[0.02, -0.56, 1.1294]",,,,,"{""pos_err"": 0.01937, ""ori_err"": 0.01673, ""iterations"": 600}"
126,2026-05-14T06:00:34.332,IK_ELBOW_UP,FAILED,,pick(cube1) pregrasp,,,,,,,,,,,"{""pos_err"": 0.03439, ""ori_err"": 0.01296, ""iterations"": 600}"
127,2026-05-14T06:00:34.332,OMPL_PLAN,START,,pick(cube1) pregrasp,,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 3.0, ""start_q"": [-0.0752, 0.1494, -0.1449, -2.0272, 0.022, 2.172, -1.1558], ""goal_q"": [-0.6669, 0.5214, -0.2995, -1.6368, 0.1654, 2.1467, -1.6128]}"
