event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
173,2026-05-14T07:17:33.705,TRAJECTORY_WAYPOINT,EXEC,,,,,13/26,,0.0150,,,,,,"{""q"": [-0.3935, 0.3478, 0.172, -2.0714, -0.0794, 2.3996, -0.7392]}"
174,2026-05-14T07:17:33.837,TRAJECTORY_WAYPOINT,EXEC,,,,,19/26,,0.0150,,,,,,"{""q"": [-0.3779, 0.4, 0.1565, -2.0842, -0.091, 2.4647, -0.7307]}"
175,2026-05-14T07:17:33.964,TRAJECTORY_WAYPOINT,EXEC,,,,,25/26,,0.0150,,,,,,"{""q"": [-0.3622, 0.4521, 0.1411, -2.0971, -0.1027, 2.5297, -0.7223]}"
176,2026-05-14T07:17:33.998,TRAJECTORY_WAYPOINT,EXEC,,,,,26/26,,0.0150,,,,,,"{""q"": [-0.3596, 0.4608, 0.1385, -2.0992, -0.1046, 2.5405, -0.7209]}"
177,2026-05-14T07:17:34.058,TRAJECTORY_EXEC,OK,,,,,26,603,,,,,,,
178,2026-05-14T07:17:34.058,MOVE_POSE,OK,,"place(0.165, -0.125) release",,,,,,,,,,,
179,2026-05-14T07:17:34.058,PLACE,SETTLE_BEFORE_OPEN,cube1,,,,,,,,,,,,"{""steps"": 120}"
180,2026-05-14T07:17:34.300,PLACE,GRIP_OPEN,cube1,,,,,,,,,,,,"{""finger_before"": 0.0299}"
181,2026-05-14T07:17:34.300,GRIPPER,SET,,,,,,,0.0400,,,,,,"{""steps"": 450}"
182,2026-05-14T07:17:35.195,PLACE,GRIP_OPENED,cube1,,,,,,,,,,,,"{""finger_after"": 0.04}"
183,2026-05-14T07:17:35.521,MOVE_POSE,START,,"place(0.165, -0.125) retreat",,,,,0.0400,"[0.165, -0.125, 1.19]","[""cube1""]",,,,
184,2026-05-14T07:17:35.646,IK_CANDIDATE,OK,,"place(0.165, -0.125) retreat",,,,,,"[0.165, -0.125, 1.19]",,,,,"{""pos_err"": 0.00797, ""ori_err"": 0.00906, ""candidate_idx"": 0, ""ref_idx"": 0}"
185,2026-05-14T07:17:35.646,IK_SOLVE,OK,,"place(0.165, -0.125) retreat",,,,,,"[0.165, -0.125, 1.19]",,,,,"{""pos_err"": 0.00797, ""ori_err"": 0.00906, ""iterations"": 438}"
186,2026-05-14T07:17:35.646,OMPL_PLAN,START,,"place(0.165, -0.125) retreat",,RRTConnect,,,0.0400,,"[""cube1""]",,,,"{""time_limit"": 3.0, ""start_q"": [-0.3596, 0.4685, 0.1379, -2.1036, -0.1047, 2.5398, -0.7209], ""goal_q"": [-0.3445, 0.144, 0.1318, -2.0195, -0.0235, 2.1711, -0.7622]}"
187,2026-05-14T07:17:36.107,OMPL_PLAN,OK,,"place(0.165, -0.125) retreat",,BITstar,35,460,,,,,,,"{""path_length"": 0.5068, ""selected_goal_q"": [-0.34448485275859897, 0.14397142268694482, 0.1318424509328748, -2.019452726798538, -0.023487141996662513, 2.1711088262178286, -0.7622061898947361]}"
188,2026-05-14T07:17:36.107,TRAJECTORY_EXEC,START,,,,,35,,0.0400,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
